SR NO,UID,PLAYER NAME,JOIN DATE,METHOD,RANK,STATUS,DEAFULT SCYN,REASON,LEAVE DATE,KICKED SCORE,KICKED STATUS,LAST TOTAL POINTS,CURRENT TOTAL POINTS,THIS WEEK WAR TOTAL POINTS,LAST WEEK WAR TOTAL POINTS,POINTS,WAR POINTS,REQUEST FOR TEMPORARY BREAK,CHANGE NAME,GUILDMATES FRIEND,TOTAL DAYS,MIN POINTS,POINTS LIMIT
86,4017829491,YASH YT,May-28-2024,INVITE BY VISNU BHAI,MEMBER,KICKED,FF,LOW POINT 7 DAY OFFLINE,Dec-2-2024,7,YOU HAVE ONLY 3 CHANCE TO IMPROVEMENT,240,240,0,0,O,0,NO,NO,NO,188,7520,10000
87,7571553829,KALI,Apr-26-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT 1 DAY OFFLINE,May-27-2024,1,YOU CAN JOIN TODAY,1552,1552,22,22,O,0,NO,,,31,1240,10000
88,2786707890,NEEY FF,Apr-27-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD (VIOLATION OF RULES),May-7-2024,10,YOU ARE BAN FROM GUILD,320,320,0,0,O,0,NO,,,10,400,10000
89,2234938769,KARTIK,Apr-27-2024,INVITE BY EVIL YT,MEMBER,KICKED,FF,BAD BEHAVIOUR (VIOLATION OF RULE),May-30-2024,10,YOU ARE BAN FROM GUILD,9644,9644,67,67,O,0,NO,,,33,1320,10000
90,3421542950,TRY NXT TIME,Jul-17-2024,RECOMMENDED,MEMBER,KICKED,FF,0 POINTS 7 DAY OFFLINE,Jul-28-2024,10,YOU ARE BAN FROM GUILD,20,20,0,0,O,0,NO,NO,YES,11,440,10000
91,2182204711,EG RAVAN,Apr-29-2024,INVITE BY KARTIK,MEMBER,KICKED,FF,WITHOUT ANY REASON KICKED BY EVIL YT,May-31-2024,10,YOU ARE BAN FROM GUILD,7087,7087,0,0,O,0,NO,,,32,1280,10000
92,3018365237,KALU FF,Jun-12-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD VIOLATION OF RULES,Jun-13-2024,10,YOU ARE BAN FROM GUILD,0,0,0,0,O,0,NO,NO,YES,1,40,10000
93,2654949289,YUVRAJ,Apr-29-2024,INVITE BY EAGLE DIP,MEMBER,KICKED,FF,LOW POINT,Jul-8-2024,1,YOU CAN JOIN TODAY,3686,3686,5,5,O,0,NO,,,70,2800,10000
94,8456019975,KAUSAL,Apr-30-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,May-20-2024,1,YOU CAN JOIN TODAY,1418,1418,38,38,O,0,NO,,,20,800,10000
95,2461643886,NARUTO 10•7,Apr-30-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,May-1-2024,1,YOU CAN JOIN TODAY,,,0,0,O,0,NO,,,1,40,10000
96,7781812737,PAGAL @ MP14,May-1-2024,INVITE BY VISNU BHAI,MEMBER,KICKED,FF,3 DAY OFLINE,May-9-2024,6,WARNING YOU HAVE TO NEED IMPROVEMENT,40,40,0,0,O,0,NO,,,8,320,10000
97,955737776,KLR SUNNY,May-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT 3 DAY OFLINE,May-20-2024,2,YOU CAN JOIN JOIN AFTER 1 HR,280,280,0,0,O,0,NO,,,19,760,10000
98,4829652539,SS SANJIT,May-1-2024,INVITE BY VISNU BHAI,MEMBER,KICKED,FF,LOW POINT AND 5 DAY OFFLINE,May-20-2024,3,YOU CAN JOIN AFTER 12 HR,400,400,0,0,O,0,NO,,,19,760,10000
99,2106809126,DIC RED 8,May-15-2024,INVITE BY VISNU BHAI,MEMBER,KICKED,FF,LEFT THE GUILD,Jun-14-2024,8,YOU HAVE ONLY 2 CHANCE  TO IMPROVEMENT,16936,16936,0,0,O,0,NO,,,30,1200,10000
100,4295414254,RAJ FF,May-1-2024,PROFILE,MEMBER,KICKED,FF,LEFT THE GUILD,May-5-2024,1,YOU CAN JOIN TODAY,425,425,0,0,O,0,NO,,,4,160,10000
101,7523621142,KING0R6,May-2-2024,PROFILE,MEMBER,KICKED,FF,LEFT THE GUILD,May-5-2024,6,WARNING YOU HAVE TO NEED IMPROVEMENT,290,290,0,0,O,0,NO,,,3,120,10000
102,6669162057,RAISTAR,May-2-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD (VIOLATION OF RULES),May-2-2024,10,YOU ARE BAN FROM GUILD,,,0,0,O,0,NO,,,0,0,10000
103,2461184751,REHAN FF,May-2-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,May-4-2024,1,YOU CAN JOIN TODAY,10,10,0,0,O,0,NO,,,2,80,10000
104,1016711129,DRUXZ!,May-2-2024,INVITE BY RAJ FF,MEMBER,KICKED,FF,LEFT THE GUILD (VIOLANCE OF RULES),May-3-2024,10,YOU ARE BAN FROM GUILD,,,0,0,O,0,NO,,,1,40,10000
105,1662119325,KRISHNA BHAI,May-3-2024,RECOMMENDED,MEMBER,KICKED,FF,VIOLENCE OF RULE,May-5-2024,10,YOU ARE BAN FROM GUILD,,,0,0,O,0,NO,,,2,80,10000
106,2143557886,SINCHAN,May-3-2024,RECOMMENDED,MEMBER,KICKED,FF,NOT GIVING RESPECT TO LEADER,Jun-13-2024,9,YOU HAVE LAST CHANCE,1510,1510,0,0,O,0,NO,,,41,1640,10000
107,1096791489,RAISTAR..8,May-4-2024,INVITE BY VISNU BHAI,MEMBER,KICKED,FF,LOW POINT CUSTOM PLAYER,May-20-2024,7,YOU HAVE ONLY 3 CHANCE TO IMPROVEMENT,270,270,0,0,O,0,NO,,,16,640,10000
108,850207649,SENU NS,May-5-2024,RECOMMENDED,MEMBER,KICKED,FF,2 DAY OFFLINE,May-8-2024,8,YOU HAVE ONLY 2 CHANCE  TO IMPROVEMENT,,,0,0,O,0,NO,,,3,120,10000
109,1637036813,DRY O PAIN,May-22-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Jun-17-2024,3,YOU CAN JOIN AFTER 12 HR,820,820,0,0,O,0,NO,,,26,1040,10000
110,6906166678,PAGAL VIP 9999,May-24-2024,INVITE BY VISNU BHAI,MEMBER,KICKED,FF,LOW POINT,Jun-17-2024,6,WARNING YOU HAVE TO NEED IMPROVEMENT,530,530,0,0,O,0,NO,NO,YES,24,960,10000
111,2796300203,DESI BUGGU,May-6-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,May-26-2024,3,YOU CAN JOIN AFTER 12 HR,660,660,,,O,0,NO,,,20,800,10000
112,3520772014,MAHAKAL,May-6-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,May-13-2024,8,YOU HAVE ONLY 2 CHANCE  TO IMPROVEMENT,400,400,,,O,0,NO,,,7,280,10000
113,6172004477,TG TARAK,May-7-2024,PROFILE,MEMBER,KICKED,FF,LOW POINT,Jun-3-2024,1,YOU CAN JOIN TODAY,1040,1040,,,O,0,NO,,,27,1080,10000
